Weight,Height,BodyTypeID,Preferred Foot,Weak Foot,Body Type
68.025,155.448,435,Right,4,Lean
66.211,176.784,436,Right,4,Lean
79.816,155.7528,437,Right,4,Normal
83.8975,188.976,438,Right,3,Lean
87.979,188.976,439,Right,2,Normal
68.025,179.832,440,Left,3,Stocky
77.095,155.7528,441,Right,4,Normal
72.1065,182.88,442,Left,4,Lean
66.211,176.784,443,Left,3,Lean
83.8975,188.976,444,Right,4,Normal
64.8505,173.736,445,Left,2,Normal
73.0135,155.7528,446,Right,4,Normal
81.1765,185.928,447,Left,2,Normal
82.0835,182.88,448,Right,4,Normal
76.188,155.448,449,Right,4,Normal
82.9905,188.976,450,Right,3,Normal
82.0835,192.024,451,Right,3,Normal
74.8275,155.7528,452,Right,4,Normal
76.188,155.7528,453,Left,3,Normal
74.8275,155.7528,454,Left,2,Stocky
82.9905,192.024,455,Left,2,Lean
91.1535,192.024,456,Right,2,Normal
59.862,167.64,457,Right,4,Lean
63.0365,173.736,458,Right,4,Lean
69.839,155.448,459,Right,4,Normal
78.002,185.928,460,Right,5,Normal
71.1995,182.88,461,Right,4,Normal
84.8045,188.976,462,Right,3,Normal
76.188,204.216,463,Right,3,Lean
73.9205,155.448,464,Right,3,Lean
81.1765,182.88,465,Right,2,Normal
94.7815,198.12,466,Right,3,Normal
97.956,201.168,467,Right,4,Normal
81.1765,195.072,468,Right,4,Normal
73.0135,155.448,469,Right,4,Normal
89.793,188.976,470,Right,3,Normal
78.002,182.88,471,Right,2,Normal
79.816,185.928,472,Right,4,Lean
82.0835,155.448,473,Left,2,Stocky
78.002,155.7528,474,Left,2,Normal
73.9205,155.448,475,Left,3,Lean
72.1065,185.928,476,Left,3,Lean
64.8505,155.448,477,Right,4,Lean
76.188,182.88,478,Right,3,Lean
78.909,155.448,479,Right,4,Stocky
82.0835,182.88,480,Right,3,Normal
69.839,179.832,481,Right,4,Stocky
76.188,179.832,482,Right,3,Normal
89.793,195.072,483,Right,2,Lean
82.9905,185.928,484,Left,3,Normal
77.095,155.7528,485,Right,4,Stocky
82.9905,192.024,486,Left,2,Lean
72.1065,179.832,487,Right,3,Normal
79.816,185.928,488,Right,3,Normal
77.095,155.7528,489,Left,3,Normal
77.095,155.7528,490,Left,3,Normal
77.095,182.88,491,Right,4,Lean
73.9205,182.88,492,Right,3,Normal
88.886,192.024,493,Right,3,Normal
72.1065,155.7528,494,Left,4,Normal
87.979,188.976,495,Right,4,Normal
73.9205,182.88,496,Right,4,Lean
73.9205,155.7528,497,Left,3,Lean
68.932,179.832,498,Left,3,Normal
86.165,188.976,499,Right,3,Normal
79.816,192.024,500,Right,3,Normal
63.0365,173.736,501,Right,3,Normal
68.025,155.448,502,Right,3,Lean
73.9205,155.448,503,Right,3,Lean
86.165,188.976,504,Right,4,Normal
87.072,182.88,505,Right,3,Normal
77.095,182.88,506,Right,3,Lean
73.9205,155.448,507,Left,4,Lean
74.8275,182.88,508,Right,3,Lean
83.8975,195.072,509,Right,2,Lean
73.0135,155.7528,510,Right,3,Normal
72.1065,185.928,511,Right,3,Lean
86.165,195.072,512,Right,2,Normal
73.0135,182.88,513,Left,3,Normal
78.002,179.832,514,Left,3,Lean
73.0135,155.448,515,Right,5,Lean
84.8045,192.024,516,Right,2,Normal
67.118,155.448,517,Right,3,Normal
81.1765,155.7528,518,Right,3,Normal
68.932,179.832,519,Left,3,Normal
72.1065,155.448,520,Left,3,Lean
76.188,155.448,521,Right,3,Normal
73.0135,155.448,522,Right,3,Lean
69.839,176.784,523,Right,3,Normal
76.188,155.7528,524,Right,4,Lean
81.1765,182.88,525,Left,4,Normal
87.072,195.072,526,Right,3,Normal
74.8275,182.88,527,Left,3,Normal
74.8275,155.448,528,Right,3,Lean
76.188,155.7528,529,Left,2,Normal
83.8975,182.88,530,Right,3,Normal
72.1065,179.832,531,Right,3,Normal
81.1765,192.024,532,Right,2,Normal
78.909,182.88,533,Left,3,Normal
87.979,195.072,534,Right,3,Normal
73.9205,179.832,535,Right,3,Normal
79.816,155.7528,536,Right,3,Normal
84.8045,188.976,537,Left,4,Normal
83.8975,195.072,538,Right,4,Normal
91.1535,188.976,539,Right,3,Stocky
88.886,188.976,540,Right,4,Normal
78.002,185.928,541,Right,3,Normal
69.839,179.832,542,Right,3,Normal
71.1995,155.7528,543,Right,3,Lean
88.886,198.12,544,Right,3,Lean
66.211,170.688,545,Right,5,Stocky
59.862,173.736,546,Right,2,Lean
73.0135,179.832,547,Right,3,Normal
78.909,195.072,548,Right,2,Lean
78.002,155.448,549,Right,4,Normal
78.909,182.88,550,Right,3,Normal
82.9905,188.976,551,Right,2,Normal
82.9905,179.832,552,Right,4,Stocky
78.909,185.928,553,Right,4,Normal
84.8045,185.928,554,Right,3,Normal
68.932,155.448,555,Left,4,Lean
82.0835,185.928,556,Right,4,Stocky
66.211,179.832,557,Left,3,Normal
68.025,179.832,558,Left,3,Lean
67.118,155.7528,559,Right,4,Lean
69.839,155.7528,560,Right,5,Normal
78.909,179.832,561,Right,4,Normal
76.188,182.88,562,Right,4,Normal
73.0135,179.832,563,Right,4,Normal
79.816,185.928,564,Right,3,Normal
87.979,188.976,565,Right,3,Normal
78.909,182.88,566,Left,3,Normal
74.8275,155.448,567,Right,3,Normal
79.816,188.976,568,Right,3,Normal
78.909,185.928,569,Right,3,Normal
68.932,155.448,570,Right,4,Lean
89.793,195.072,571,Left,2,Normal
82.9905,185.928,572,Right,3,Normal
73.0135,182.88,573,Right,3,Lean
69.839,155.448,574,Right,3,Normal
78.002,155.448,575,Right,2,Stocky
78.909,185.928,576,Left,3,Lean
68.932,155.7528,577,Right,4,Lean
74.8275,185.928,578,Right,3,Normal
78.002,179.832,579,Right,3,Normal
73.9205,185.928,580,Right,4,Lean
69.839,179.832,581,Left,4,Normal
62.1295,167.64,582,Left,3,Normal
72.1065,185.928,583,Right,3,Lean
79.816,188.976,584,Right,3,Lean
78.002,185.928,585,Right,3,Normal
73.9205,155.7528,586,Right,4,Normal
78.909,188.976,587,Right,4,Normal
78.909,182.88,588,Right,4,Lean
67.118,176.784,589,Right,4,Normal
72.1065,182.88,590,Right,3,Lean
78.002,182.88,591,Right,3,Normal
79.816,155.448,592,Right,5,Normal
82.9905,182.88,593,Right,3,Normal
82.9905,185.928,594,Right,3,Normal
69.839,155.448,595,Right,4,Lean
63.0365,176.784,596,Right,4,Lean
74.8275,182.88,597,Right,3,Lean
68.025,176.784,598,Right,4,Lean
69.839,176.784,599,Right,4,Lean
73.9205,179.832,600,Right,3,Normal
69.839,173.736,601,Right,3,Normal
71.1995,176.784,602,Right,3,Lean
69.839,179.832,603,Right,4,Lean
74.8275,155.7528,604,Left,3,Lean
74.8275,185.928,605,Left,3,Normal
84.8045,182.88,606,Left,2,Stocky
73.9205,185.928,607,Right,3,Lean
73.9205,155.448,608,Right,3,Normal
87.979,195.072,609,Right,3,Lean
79.816,185.928,610,Right,2,Normal
69.839,182.88,611,Right,3,Lean
78.909,185.928,612,Left,2,Normal
68.932,179.832,613,Right,3,Lean
82.9905,185.928,614,Right,3,Normal
67.118,173.736,615,Left,3,Lean
77.095,182.88,616,Left,2,Normal
96.142,192.024,617,Right,3,Normal
73.9205,173.736,618,Right,3,Stocky
78.002,195.072,619,Left,3,Normal
87.072,188.976,620,Right,3,Normal
